id,anio,jur_desc,fin_desc,fun_desc,inciso_desc,ppal_desc,ff_desc,eco_desc,vigente,devengado
1,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Otros Bienes De Consumo,Tesoro De La Ciudad,Bienes De Consumo,764680,764482.64
2,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,"Productos Alimenticios, Agropecuarios Y Forestales",Tesoro De La Ciudad,Bienes De Consumo,799714,799712.04
3,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Productos De Minerales No Metálicos,Tesoro De La Ciudad,Bienes De Consumo,3620,3620
4,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Productos Metálicos,Tesoro De La Ciudad,Bienes De Consumo,19143,19105.5
5,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,"Productos Químicos, Combustibles Y Lubricantes",Tesoro De La Ciudad,Bienes De Consumo,332242,332133.1
6,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,"Pulpa,Papel, Cartón Y Sus Productos",Tesoro De La Ciudad,Bienes De Consumo,235702,235581.67
7,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Textiles Y Vestuario,Tesoro De La Ciudad,Bienes De Consumo,1874,1874
8,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Uso,Activos Intangibles,Tesoro De La Ciudad,Activos Intangibles,182597,141200.92
9,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Uso,Maquinaria Y Equipo,Tesoro De La Ciudad,Maquinaria Y Equipo,1513263,1417572.71
10,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Uso,"Obras De Arte, Libros Y Elementos Coleccionables",Tesoro De La Ciudad,Maquinaria Y Equipo,113433,113433
11,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Bienes De Uso,Otros Bienes De Uso E Inversiones,Tesoro De La Ciudad,Maquinaria Y Equipo,374924,367275
12,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Asignaciones Familiares,Tesoro De La Ciudad,Remuneraciones Al Personal,1351972,1351971.58
13,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Asistencia Social Al Personal,Tesoro De La Ciudad,Remuneraciones Al Personal,3537315,3537313.76
14,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Contratos Por Tiempo Determinado,Tesoro De La Ciudad,Remuneraciones Al Personal,10877299,10875273.05
15,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Personal Permanente,Tesoro De La Ciudad,Remuneraciones Al Personal,156887905,156887900.67
16,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Alquileres Y Derechos,Tesoro De La Ciudad,Servicios No Personales,1576636,1576635.84
17,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Impuestos, Derechos,  Tasas Y Juicios",Tesoro De La Ciudad,Servicios No Personales,0,0
18,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Mantenimiento, Reparación Y Limpieza",Tesoro De La Ciudad,Servicios No Personales,1999935,1989903.53
19,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Otros Servicios,Tesoro De La Ciudad,Servicios No Personales,467517,467515.38
20,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Pasajes, Viáticos Y Movilidad",Tesoro De La Ciudad,Servicios No Personales,1511421,1511418.46
21,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Publicidad Y Propaganda,Tesoro De La Ciudad,Servicios No Personales,225910,225910
22,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Servicios Básicos,Tesoro De La Ciudad,Servicios No Personales,488091,479660.96
23,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Servicios Especializados, Comerciales Y Financieros",Tesoro De La Ciudad,Servicios No Personales,1755763,1744328.14
24,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Servicios Profesionales, Técnicos Y Operativos",Tesoro De La Ciudad,Servicios No Personales,13131260,13127077.55
25,2013,Auditoria General De La Ciudad De Buenos Aires,Administración Gubernamental,Control De La Gestión,Transferencias,Transferencias Al Sector Privado Para Financiar Gastos Corrientes,Tesoro De La Ciudad,Al Sector Privado,152460,86203.75
26,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Consumo,Otros Bienes De Consumo,Tesoro De La Ciudad,Bienes De Consumo,2423984,2423984
27,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Consumo,"Productos Alimenticios, Agropecuarios Y Forestales",Tesoro De La Ciudad,Bienes De Consumo,1782919,1782919
28,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Consumo,"Productos Químicos, Combustibles Y Lubricantes",Tesoro De La Ciudad,Bienes De Consumo,207584,207584
29,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Consumo,"Pulpa,Papel, Cartón Y Sus Productos",Tesoro De La Ciudad,Bienes De Consumo,595013,595013
30,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Consumo,Textiles Y Vestuario,Tesoro De La Ciudad,Bienes De Consumo,9313,9313
31,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Uso,Activos Intangibles,Tesoro De La Ciudad,Activos Intangibles,15869135,15869135
32,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Uso,Bienes Preexistentes,Tesoro De La Ciudad,Edificios E Instalaciones,0,0
33,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Uso,Construcciones,Tesoro De La Ciudad,Construcciones Del Dominio Privado,15494393,15494393
34,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Uso,Equipo De Seguridad,Tesoro De La Ciudad,Maquinaria Y Equipo,3719385,3719385
35,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Uso,Maquinaria Y Equipo,Tesoro De La Ciudad,Maquinaria Y Equipo,61073296,61073296
36,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Bienes De Uso,"Obras De Arte, Libros Y Elementos Coleccionables",Tesoro De La Ciudad,Maquinaria Y Equipo,2462786,2462786
37,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Gastos En Personal,Asignaciones Familiares,Tesoro De La Ciudad,Remuneraciones Al Personal,6711989,6711989
38,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Gastos En Personal,Personal Permanente,Tesoro De La Ciudad,Remuneraciones Al Personal,710547896,710547896
39,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Gastos En Personal,Personal Temporario,Tesoro De La Ciudad,Remuneraciones Al Personal,30825783,30825783
40,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,Alquileres Y Derechos,Tesoro De La Ciudad,Servicios No Personales,15286411,15286411
41,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,"Impuestos, Derechos,  Tasas Y Juicios",Tesoro De La Ciudad,Servicios No Personales,608710,608710
42,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,"Mantenimiento, Reparación Y Limpieza",Tesoro De La Ciudad,Servicios No Personales,53843436,53843436
43,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,Otros Servicios,Tesoro De La Ciudad,Servicios No Personales,8888053,8888053
44,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,"Pasajes, Viáticos Y Movilidad",Tesoro De La Ciudad,Servicios No Personales,3067302,3067302
45,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,Publicidad Y Propaganda,Tesoro De La Ciudad,Servicios No Personales,1861640,1861640
46,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,Servicios Básicos,Tesoro De La Ciudad,Servicios No Personales,3101452,3101452
47,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,"Servicios Especializados, Comerciales Y Financieros",Tesoro De La Ciudad,Servicios No Personales,15869043,15869043
48,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,"Servicios Profesionales, Técnicos Y Operativos",Recursos Con Afectacion Especifica,Servicios No Personales,2000000,0
49,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Servicios No Personales,"Servicios Profesionales, Técnicos Y Operativos",Tesoro De La Ciudad,Servicios No Personales,16241311,16241311
50,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Transferencias,Transf A Instituciones Provinciales Y Municipales Para Financiar Gastos Corrientes,Tesoro De La Ciudad,Al Sector Público,0,0
51,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Transferencias,Transferencias A Universidades,Tesoro De La Ciudad,Al Sector Público,0,0
52,2013,Consejo De La Magistratura,Administración Gubernamental,Judicial,Transferencias,Transferencias Al Sector Privado Para Financiar Gastos Corrientes,Tesoro De La Ciudad,Al Sector Privado,1747798,1747798
53,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Otros Bienes De Consumo,Tesoro De La Ciudad,Bienes De Consumo,1907668,1907667.49
54,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,"Productos Alimenticios, Agropecuarios Y Forestales",Tesoro De La Ciudad,Bienes De Consumo,842596,842592.93
55,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Productos De Minerales No Metálicos,Tesoro De La Ciudad,Bienes De Consumo,7102,7101.97
56,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Productos Metálicos,Tesoro De La Ciudad,Bienes De Consumo,35532,35531.52
57,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,"Productos Químicos, Combustibles Y Lubricantes",Tesoro De La Ciudad,Bienes De Consumo,336872,336872
58,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,"Pulpa,Papel, Cartón Y Sus Productos",Tesoro De La Ciudad,Bienes De Consumo,285141,285139.3
59,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Consumo,Textiles Y Vestuario,Tesoro De La Ciudad,Bienes De Consumo,15609,15608.33
60,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Uso,Activos Intangibles,Tesoro De La Ciudad,Activos Intangibles,162560,162559.23
61,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Uso,Maquinaria Y Equipo,Tesoro De La Ciudad,Maquinaria Y Equipo,1195985,1174723.75
62,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Bienes De Uso,"Obras De Arte, Libros Y Elementos Coleccionables",Tesoro De La Ciudad,Maquinaria Y Equipo,119298,119291
63,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Asignaciones Familiares,Tesoro De La Ciudad,Remuneraciones Al Personal,1292525,1292523.5
64,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Asistencia Social Al Personal,Tesoro De La Ciudad,Remuneraciones Al Personal,0,0
65,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Contratos Por Tiempo Determinado,Tesoro De La Ciudad,Remuneraciones Al Personal,353884,353880.64
66,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Gastos En Personal,Personal Permanente,Tesoro De La Ciudad,Remuneraciones Al Personal,192363356,192362861.3
67,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Alquileres Y Derechos,Tesoro De La Ciudad,Servicios No Personales,2064873,2064872.1
68,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Impuestos, Derechos,  Tasas Y Juicios",Tesoro De La Ciudad,Servicios No Personales,188698,188698
69,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Mantenimiento, Reparación Y Limpieza",Tesoro De La Ciudad,Servicios No Personales,60443,60442.5
70,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Otros Servicios,Tesoro De La Ciudad,Servicios No Personales,7804704,7804702.85
71,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Pasajes, Viáticos Y Movilidad",Tesoro De La Ciudad,Servicios No Personales,1446681,1446681
72,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Publicidad Y Propaganda,Tesoro De La Ciudad,Servicios No Personales,789454,789454
73,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,Servicios Básicos,Tesoro De La Ciudad,Servicios No Personales,1006961,1006958.72
74,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Servicios Especializados, Comerciales Y Financieros",Tesoro De La Ciudad,Servicios No Personales,1945015,1945012.33
75,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Servicios No Personales,"Servicios Profesionales, Técnicos Y Operativos",Tesoro De La Ciudad,Servicios No Personales,18361452,18361451.25
76,2013,Defensoria Del Pueblo,Administración Gubernamental,Control De La Gestión,Transferencias,Transferencias Al Sector Privado Para Financiar Gastos Corrientes,Tesoro De La Ciudad,Al Sector Privado,3278207,3252308.2
77,2013,Jefatura De Gabinete De Ministros,Administración Gubernamental,Dirección Ejecutiva,Bienes De Consumo,Minerales,Tesoro De La Ciudad,Bienes De Consumo,67,67
78,2013,Jefatura De Gabinete De Ministros,Administración Gubernamental,Dirección Ejecutiva,Bienes De Consumo,Otros Bienes De Consumo,Tesoro De La Ciudad,Bienes De Consumo,516743,485390.35
79,2013,Jefatura De Gabinete De Ministros,Administración Gubernamental,Dirección Ejecutiva,Bienes De Consumo,"Productos Alimenticios, Agropecuarios Y Forestales",Tesoro De La Ciudad,Bienes De Consumo,457282,447274.53
